month,mortgage_approvals_thousands
2018-01-01,63.3
2018-02-01,63.9
2018-03-01,62.9
2018-04-01,62.3
2018-05-01,63.9
2018-06-01,64.9
2018-07-01,65.0
2018-08-01,66.1
2018-09-01,66.0
2018-10-01,67.1
2018-11-01,65.5
2018-12-01,63.8
2019-01-01,66.8
2019-02-01,67.0
2019-03-01,62.3
2019-04-01,66.3
2019-05-01,65.7
2019-06-01,66.4
2019-07-01,67.0
2019-08-01,66.3
2019-09-01,66.0
2019-10-01,64.6
2019-11-01,67.0
2019-12-01,67.2
2020-01-01,71.1
2020-02-01,73.2
2020-03-01,56.1
2020-04-01,15.8
2020-05-01,9.3
2020-06-01,39.6
2020-07-01,66.3
2020-08-01,84.3
2020-09-01,91.5
2020-10-01,97.5
2020-11-01,104.9
2020-12-01,157.0
2021-01-01,99.1
2021-02-01,87.7
2021-03-01,82.7
2021-04-01,86.9
2021-05-01,87.5
2021-06-01,81.9
2021-07-01,75.2
2021-08-01,74.5
2021-09-01,72.2
2021-10-01,67.2
2021-11-01,68.0
2021-12-01,71.9
2022-01-01,73.8
2022-02-01,70.9
2022-03-01,70.7
2022-04-01,66.0
2022-05-01,65.7
2022-06-01,63.7
2022-07-01,63.1
2022-08-01,63.8
2022-09-01,65.4
2022-10-01,57.9
2022-11-01,46.2
2022-12-01,35.6
2023-01-01,39.6
2023-02-01,43.7
2023-03-01,52.0
2023-04-01,48.7
2023-05-01,50.5
2023-06-01,54.7
2023-07-01,54.4
2023-08-01,45.4
2023-09-01,43.3
2023-10-01,47.4
2023-11-01,50.1
2023-12-01,50.5
